Epoch 339 loss = 80.58428 	 PPV@L = 0.887 	 First Error = 28
Epoch 340 loss = 80.6182 	 PPV@L = 0.906 	 First Error = 28
Epoch 341 loss = 80.61363 	 PPV@L = 0.906 	 First Error = 29
Epoch 342 loss = 80.45009 	 PPV@L = 0.887 	 First Error = 28
Epoch 343 loss = 80.25633 	 PPV@L = 0.906 	 First Error = 27
Epoch 344 loss = 80.26073 	 PPV@L = 0.887 	 First Error = 28
Epoch 345 loss = 80.37867 	 PPV@L = 0.887 	 First Error = 29
Epoch 346 loss = 80.31983 	 PPV@L = 0.906 	 First Error = 29
Epoch 347 loss = 80.54548 	 PPV@L = 0.887 	 First Error = 27
Epoch 348 loss = 80.12773 	 PPV@L = 0.906 	 First Error = 27
Epoch 349 loss = 80.42337 	 PPV@L = 0.906 	 First Error = 28
Epoch 350 loss = 80.37019 	 PPV@L = 0.906 	 First Error = 28
Epoch 351 loss = 80.12638 	 PPV@L = 0.887 	 First Error = 29
Epoch 352 loss = 80.0579 	 PPV@L = 0.925 	 First Error = 27
Epoch 353 loss = 80.13824 	 PPV@L = 0.925 	 First Error = 26
Epoch 354 loss = 80.09114 	 PPV@L = 0.906 	 First Error = 28
Epoch 355 loss = 80.071 	 PPV@L = 0.887 	 First Error = 26
Epoch 356 loss = 79.89612 	 PPV@L = 0.887 	 First Error = 27
Epoch 357 loss = 79.77127 	 PPV@L = 0.925 	 First Error = 27
Epoch 358 loss = 79.73428 	 PPV@L = 0.887 	 First Error = 25
Epoch 359 loss = 79.67576 	 PPV@L = 0.887 	 First Error = 25
Epoch 360 loss = 79.7379 	 PPV@L = 0.887 	 First Error = 25
Epoch 361 loss = 79.5047 	 PPV@L = 0.906 	 First Error = 25
Epoch 362 loss = 79.5458 	 PPV@L = 0.887 	 First Error = 25
Epoch 363 loss = 79.61573 	 PPV@L = 0.887 	 First Error = 26
Epoch 364 loss = 79.8138 	 PPV@L = 0.925 	 First Error = 27
Epoch 365 loss = 79.70528 	 PPV@L = 0.906 	 First Error = 27
Epoch 366 loss = 79.33898 	 PPV@L = 0.887 	 First Error = 25
Epoch 367 loss = 79.44649 	 PPV@L = 0.906 	 First Error = 25
Epoch 368 loss = 79.40013 	 PPV@L = 0.887 	 First Error = 25
