Epoch 203 loss = 98.63892 	 PPV@L = 0.925 	 First Error = 43
Epoch 204 loss = 98.66813 	 PPV@L = 0.906 	 First Error = 41
Epoch 205 loss = 98.56022 	 PPV@L = 0.906 	 First Error = 34
Epoch 206 loss = 98.47292 	 PPV@L = 0.906 	 First Error = 43
Epoch 207 loss = 98.52622 	 PPV@L = 0.925 	 First Error = 39
Epoch 208 loss = 98.50881 	 PPV@L = 0.925 	 First Error = 43
Epoch 209 loss = 98.38161 	 PPV@L = 0.925 	 First Error = 37
Epoch 210 loss = 98.42879 	 PPV@L = 0.906 	 First Error = 44
Epoch 211 loss = 98.40032 	 PPV@L = 0.925 	 First Error = 44
Epoch 212 loss = 98.29485 	 PPV@L = 0.925 	 First Error = 42
Epoch 213 loss = 98.2926 	 PPV@L = 0.925 	 First Error = 35
Epoch 214 loss = 98.21372 	 PPV@L = 0.906 	 First Error = 43
Epoch 215 loss = 98.14337 	 PPV@L = 0.906 	 First Error = 44
Epoch 216 loss = 98.13645 	 PPV@L = 0.906 	 First Error = 41
Epoch 217 loss = 98.12152 	 PPV@L = 0.925 	 First Error = 44
Epoch 218 loss = 98.09034 	 PPV@L = 0.925 	 First Error = 44
Epoch 219 loss = 98.09627 	 PPV@L = 0.925 	 First Error = 43
Epoch 220 loss = 98.09212 	 PPV@L = 0.925 	 First Error = 37
Epoch 221 loss = 97.99616 	 PPV@L = 0.925 	 First Error = 43
Epoch 222 loss = 97.93918 	 PPV@L = 0.906 	 First Error = 44
Epoch 223 loss = 97.83781 	 PPV@L = 0.925 	 First Error = 44
Epoch 224 loss = 97.83257 	 PPV@L = 0.906 	 First Error = 42
Epoch 225 loss = 97.77157 	 PPV@L = 0.925 	 First Error = 42
Epoch 226 loss = 97.83449 	 PPV@L = 0.906 	 First Error = 43
Epoch 227 loss = 97.84182 	 PPV@L = 0.925 	 First Error = 43
Epoch 228 loss = 97.7084 	 PPV@L = 0.925 	 First Error = 44
Epoch 229 loss = 97.65848 	 PPV@L = 0.906 	 First Error = 44
Epoch 230 loss = 97.60145 	 PPV@L = 0.906 	 First Error = 41
Epoch 231 loss = 97.58119 	 PPV@L = 0.925 	 First Error = 42
Epoch 232 loss = 97.51899 	 PPV@L = 0.925 	 First Error = 44
Epoch 233 loss = 97.52025 	 PPV@L = 0.925 	 First Error = 44
Epoch 234 loss = 97.50034 	 PPV@L = 0.925 	 First Error = 43
Epoch 235 loss = 97.47623 	 PPV@L = 0.925 	 First Error = 43
Epoch 236 loss = 97.49447 	 PPV@L = 0.925 	 First Error = 43
Epoch 237 loss = 97.38751 	 PPV@L = 0.925 	 First Error = 43
Epoch 238 loss = 97.31683 	 PPV@L = 0.925 	 First Error = 44
Epoch 239 loss = 97.24814 	 PPV@L = 0.925 	 First Error = 44
Epoch 240 loss = 97.29824 	 PPV@L = 0.925 	 First Error = 43
Epoch 241 loss = 97.20657 	 PPV@L = 0.925 	 First Error = 44
Epoch 242 loss = 97.10933 	 PPV@L = 0.925 	 First Error = 43
Epoch 243 loss = 97.18776 	 PPV@L = 0.925 	 First Error = 42
Epoch 244 loss = 97.16219 	 PPV@L = 0.925 	 First Error = 43
Epoch 245 loss = 97.10633 	 PPV@L = 0.906 	 First Error = 44
Epoch 246 loss = 97.00129 	 PPV@L = 0.925 	 First Error = 44
Epoch 247 loss = 96.98061 	 PPV@L = 0.925 	 First Error = 42
Epoch 248 loss = 96.97789 	 PPV@L = 0.925 	 First Error = 44
Epoch 249 loss = 96.88476 	 PPV@L = 0.925 	 First Error = 44
Epoch 250 loss = 96.8389 	 PPV@L = 0.925 	 First Error = 43
Epoch 251 loss = 96.88483 	 PPV@L = 0.925 	 First Error = 42
Epoch 252 loss = 96.90012 	 PPV@L = 0.925 	 First Error = 44
Epoch 253 loss = 96.84439 	 PPV@L = 0.925 	 First Error = 45
Epoch 254 loss = 96.71332 	 PPV@L = 0.925 	 First Error = 43
Epoch 255 loss = 96.68315 	 PPV@L = 0.906 	 First Error = 41
Epoch 256 loss = 96.67348 	 PPV@L = 0.925 	 First Error = 43
Epoch 257 loss = 96.62521 	 PPV@L = 0.925 	 First Error = 44
Epoch 258 loss = 96.64185 	 PPV@L = 0.925 	 First Error = 43
Epoch 259 loss = 96.54911 	 PPV@L = 0.925 	 First Error = 43
Epoch 260 loss = 96.44042 	 PPV@L = 0.925 	 First Error = 44
Epoch 261 loss = 96.48837 	 PPV@L = 0.943 	 First Error = 43
Epoch 262 loss = 96.49812 	 PPV@L = 0.943 	 First Error = 43
Epoch 263 loss = 96.457 	 PPV@L = 0.925 	 First Error = 43
Epoch 264 loss = 96.43223 	 PPV@L = 0.925 	 First Error = 44
Epoch 265 loss = 96.4215 	 PPV@L = 0.906 	 First Error = 44
Epoch 266 loss = 96.39192 	 PPV@L = 0.925 	 First Error = 44
Epoch 267 loss = 96.3497 	 PPV@L = 0.925 	 First Error = 45
Epoch 268 loss = 96.25995 	 PPV@L = 0.925 	 First Error = 43
Epoch 269 loss = 96.20389 	 PPV@L = 0.925 	 First Error = 41
Epoch 270 loss = 96.21095 	 PPV@L = 0.906 	 First Error = 43
Epoch 271 loss = 96.18243 	 PPV@L = 0.925 	 First Error = 44
